                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5544,                 3.0236,                 1.9985,                0.00342,                      1,                0.45844,                0.31329,                0.63668,                 3.5993,                 1.7333,                      0,                      0,                      0
                      2,                 1.5179,                  3.103,                 2.0041,                 0.0034,                      1,                0.46589,                0.32127,                0.63305,                 3.5858,                 1.7643,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                 1.2328,                 2.9201,                 1.7386,                0.00338,                      1,                0.48333,                0.35932,                0.61312,                 3.5868,                 1.7111,              3.268e-05,              3.268e-05,              3.268e-05
                      4,                 1.2149,                 2.9705,                 1.6901,                0.00335,                      1,                0.53534,                0.42911,                0.55344,                  3.566,                 1.6181,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      5,                  1.183,                 2.8653,                 1.6856,                0.00334,                      1,                0.56806,                0.46099,                0.49271,                 3.5081,                 1.4823,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      6,                 0.7906,                 2.6739,                 1.3042,                0.00334,                      1,                0.58471,                 0.4987,                0.41627,                  3.498,                 1.3932,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      7,                0.89987,                 2.6349,                 1.4828,                0.00337,                      1,                0.61521,                0.56373,                0.34487,                   3.45,                 1.2932,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      8,                0.71822,                 2.6146,                 1.3001,                0.00344,                      1,                0.64721,                0.58394,                0.32499,                 3.4439,                 1.2577,              0.0001086,              0.0001086,              0.0001086
                      9,                0.87895,                 2.5784,                  1.421,                0.00356,                      1,                0.63883,                0.53764,                0.35477,                 3.4336,                  1.192,              0.0001228,              0.0001228,              0.0001228
                     10,                 0.6607,                 2.3804,                 1.2995,                0.00369,                      1,                0.61846,                0.52881,                0.38237,                 3.4364,                 1.1819,             0.00013666,             0.00013666,             0.00013666
                     11,                0.82398,                 2.5406,                 1.4713,                0.00397,                      1,                0.68264,                0.57574,                0.40742,                 3.4117,                 1.1837,              0.0001502,              0.0001502,              0.0001502
                     12,                0.81882,                 2.3526,                 1.3927,                0.00435,                      1,                0.67885,                0.58691,                 0.4089,                 3.3573,                 1.1722,              0.0001634,              0.0001634,              0.0001634
                     13,                 1.0123,                 2.2102,                 1.4116,                0.00457,                      1,                0.68264,                0.61466,                0.37442,                 3.3249,                  1.145,             0.00017628,             0.00017628,             0.00017628
                     14,                0.93506,                 2.1411,                 1.4089,                 0.0045,                      1,                 0.7026,                0.62072,                0.37143,                 3.3149,                 1.1553,             0.00018882,             0.00018882,             0.00018882
                     15,                0.72657,                 1.9014,                  1.242,                0.00435,                      1,                 0.6965,                0.63988,                0.40624,                 3.2978,                 1.1578,             0.00020103,             0.00020103,             0.00020103
                     16,                   0.61,                 1.9491,                  1.208,                0.00418,                      1,                0.68635,                0.64809,                0.41386,                 3.2844,                 1.1562,             0.00021292,             0.00021292,             0.00021292
                     17,                0.78752,                 1.8401,                 1.3556,                0.00406,                      1,                0.70042,                 0.6692,                0.42095,                 3.2911,                 1.1564,             0.00022447,             0.00022447,             0.00022447
                     18,                0.60859,                 1.6761,                 1.1609,                0.00406,                      1,                0.70042,                 0.6692,                0.42095,                 3.2911,                 1.1564,              0.0002357,              0.0002357,              0.0002357
